GICS Sector,Net Margin_mean,Net Margin_median,Net Margin_std,ROE_mean,ROE_median,Debt-to-Equity_mean,Debt-to-Equity_median,Current Ratio_mean,Gross Margin_mean,Company Count
Consumer Discretionary,0.086,0.074,0.062,0.272,0.192,-1.554,0.533,1.923,0.419,79
Consumer Staples,0.056,0.096,0.265,0.116,0.206,0.947,0.6,1.514,0.393,33
Energy,-0.073,0.051,0.508,-0.133,0.096,1.057,0.517,1.405,0.519,31
Financials,0.141,0.145,0.097,0.218,0.099,0.801,0.289,1.727,0.411,53
Health Care,0.106,0.112,0.164,0.09,0.155,0.478,0.547,2.34,0.566,49
Industrials,0.093,0.083,0.058,0.169,0.178,0.241,0.58,1.619,0.404,62
Information Technology,0.163,0.14,0.171,0.053,0.162,0.381,0.275,2.651,0.567,61
Materials,0.08,0.078,0.119,0.204,0.182,1.162,0.718,1.984,0.309,24
Real Estate,0.246,0.223,0.205,0.107,0.087,1.507,1.146,1.343,0.654,27
Telecommunications Services,0.057,0.045,0.1,0.137,0.05,2.624,1.581,1.199,0.637,5
Utilities,0.095,0.1,0.051,0.087,0.094,1.161,1.048,0.843,0.402,24
